Wordÿ,Scrabble? Pointsÿ,Words With Friends? Pointsÿ
gest,5,6
geta,5,6
gets,5,6
gies,5,6
giro,5,6
girt,5,6
gist,5,6
gite,5,6
gits,5,6
goas,5,6
goat,5,6
goer,5,6
goes,5,6
goos,5,6
gore,5,6
grat,5,6
gree,5,6
grit,5,6
grot,5,6
haar,7,6
haes,7,6
haet,7,6
hair,7,6
hare,7,6
hart,7,6
hast,7,6
hate,7,6
hats,7,6
hear,7,6
heat,7,6
heir,7,6
here,7,6
hero,7,6
hers,7,6
hest,7,6
hets,7,6
hies,7,6
hire,7,6
hiss,7,6
hist,7,6
hits,7,6
hoar,7,6
hoer,7,6
hoes,7,6
hoot,7,6
hora,7,6
hose,7,6
host,7,6
hots,7,6
idle,5,6
idol,5,6
ills,4,
,,
unau,4,7
unde,5,7
undo,5,7
urge,5,7
waes,7,7
wair,7,7
wait,7,7
ware,7,7
wars,7,7
wart,7,7
wast,7,7
wats,7,7
watt,7,7
wear,7,7
weer,7,7
wees,7,7
weet,7,7
weir,7,7
were,7,7
wert,7,7
west,7,7
weta,7,7
wets,7,7
wire,7,7
wise,7,7
wiss,7,7
wist,7,7
wite,7,7
wits,7,7
woes,7,7
woos,7,7
wore,7,7
wort,7,7
wost,7,7
wots,7,7
writ,7,7
yard,8,7
yarn,7,7
yean,7,7
yens,7,7
yins,7,7
yird,8,7
yods,8,7
yoni,7,7
your,7,7
yous,7,7
yurt,7,7
aahs,7,6
adds,6,6
aery,7,6
agar,5,6
agas,5,6
agee,5,6
ager,5,6
ages,5,6
agio,5,6
agro,5,6
ahis,7,6
airy,7,6
alan,4,6
alls,4,6
anal,4,6
ands,5,6
anil,4,6
anna,4,6
anon,4,6
anus,4,6
areg,5,6
arty,7,6
aunt,4,6
ayes,7,6
dada,6,6
dado,6,6
dads,6,6
dale,5,6
dals,5,6
dans,5,6
darn,5,6
daut,5,6
dead,6,6
deal,5,6
dean,5,6
deed,6,6
deil,5,6
dele,5,6
deli,5,6
dels,5,6
delt,5,6
dene,5,6
deni,5,6
dens,5,6
dent,5,6
dial,5,6
dido,6,6
died,6,6
diel,5,6
dine,5,6
dino,5,6
dins,5,6
dint,5,
,,
soca,6,7
sofa,7,7
soft,7,7
soma,6,7
some,6,7
soms,6,7
song,5,7
sops,6,7
sorb,6,7
sows,7,7
spae,6,7
spar,6,7
spas,6,7
spat,6,7
spit,6,7
spot,6,7
stab,6,7
staw,7,7
stem,6,7
step,6,7
stew,7,7
stob,6,7
stop,6,7
stow,7,7
sudd,6,7
sulu,4,7
sunn,4,7
swat,7,7
swot,7,7
syli,7,7
syne,7,7
tabs,6,7
tace,6,7
taco,6,7
tact,6,7
tame,6,7
tams,6,7
tang,5,7
tapa,6,7
tape,6,7
taps,6,7
tarp,6,7
taws,7,7
team,6,7
tecs,6,7
teem,6,7
tegu,5,7
tepa,6,7
term,6,7
tews,7,7
than,7,7
then,7,7
thin,7,7
thou,7,7
thru,7,7
thus,7,7
tics,6,7
tidy,8,7
time,6,7
ting,5,7
tiny,7,7
tipi,6,7
tips,6,7
tiyn,7,7
toco,6,7
tody,8,7
toft,7,7
tome,6,7
toms,6,7
tong,5,7
tony,7,7
toom,6,7
tope,6,7
topi,6,7
topo,6,7
tops,6,7
torc,6,7
tows,7,7
tram,6,7
trap,6,7
tref,7,7
trem,6,7
trim,6,7
trip,6,7
trop,6,7
trow,7,7
trug,5,7
tugs,5,7
tush,7,7
twae,7,7
twas,7,7
twee,7,7
twit,7,7
twos,7,7
tyin,7,7
tyne,7,7
udon,5,7
ulan,4,7
ulna,4,7
ulus,4,
,,
psst,6,7
race,6,7
raft,7,7
rami,6,7
rams,6,7
rang,5,7
rape,6,7
raps,6,7
rapt,6,7
rasp,6,7
raws,7,7
ream,6,7
reap,6,7
rebs,6,7
recs,6,7
reef,7,7
refs,7,7
reft,7,7
reif,7,7
rely,7,7
rems,6,7
repo,6,7
reps,6,7
rhus,7,7
ribs,6,7
rice,6,7
rife,7,7
rifs,7,7
rift,7,7
rime,6,7
rims,6,7
ring,5,7
ripe,6,7
rips,6,7
roam,6,7
robe,6,7
robs,6,7
rocs,6,7
roms,6,7
roof,7,7
room,6,7
rope,6,7
rows,7,7
rudd,6,7
ruga,5,7
rugs,5,7
rush,7,7
ruth,7,7
ryus,7,7
sabe,6,7
sabs,6,7
sacs,6,7
safe,7,7
same,6,7
sang,5,7
saps,6,7
saws,7,7
scar,6,7
scat,6,7
scot,6,7
seam,6,7
secs,6,7
sect,6,7
seem,6,7
seep,6,7
seif,7,7
seme,6,7
semi,6,7
seps,6,7
sept,6,7
serf,7,7
sews,7,7
shad,8,7
shed,8,7
shen,7,7
shin,7,7
shod,8,7
shut,7,7
sibs,6,7
sice,6,7
sics,6,7
sidh,8,7
sift,7,7
sign,5,7
sima,6,7
sims,6,7
sing,5,7
sinh,7,7
sipe,6,7
sips,6,7
slag,5,7
slay,7,7
slog,5,7
smit,6,7
snag,5,7
snog,5,7
snye,7,7
soap,6,7
soba,6,7
sobs,6,
,,
mist,6,7
mite,6,7
mitt,6,7
moas,6,7
moat,6,7
moor,6,7
moos,6,7
moot,6,7
mora,6,7
more,6,7
mors,6,7
mort,6,7
moss,6,7
most,6,7
mote,6,7
mots,6,7
mott,6,7
naga,5,7
nags,5,7
nary,7,7
nays,7,7
negs,5,7
nill,4,7
nogs,5,7
nosh,7,7
nosy,7,7
noun,4,7
nude,5,7
nuns,4,7
nurd,5,7
nurl,4,7
oafs,7,7
obas,6,7
obes,6,7
obia,6,7
obis,6,7
obit,6,7
oboe,6,7
ocas,6,7
odah,8,7
ogle,5,7
ohed,8,7
oily,7,7
omas,6,7
omer,6,7
omit,6,7
oops,6,7
opas,6,7
opes,6,7
opts,6,7
orbs,6,7
orca,6,7
orcs,6,7
otic,6,7
owes,7,7
owse,7,7
owts,7,7
pair,6,7
para,6,7
pare,6,7
parr,6,7
pars,6,7
part,6,7
pase,6,7
pass,6,7
past,6,7
pate,6,7
pats,6,7
pear,6,7
peas,6,7
peat,6,7
peer,6,7
pees,6,7
pere,6,7
peri,6,7
pert,6,7
peso,6,7
pest,6,7
pets,6,7
pias,6,7
pier,6,7
pies,6,7
piso,6,7
pita,6,7
pits,6,7
poet,6,7
pois,6,7
poor,6,7
poos,6,7
pore,6,7
port,6,7
pose,6,7
post,6,7
pots,6,7
prao,6,7
prat,6,7
pree,6,7
proa,6,7
pros,6,7
psis,6,
,,
hard,8,7
harl,7,7
haut,7,7
head,8,7
heal,7,7
heed,8,7
heel,7,7
heil,7,7
helo,7,7
hens,7,7
hent,7,7
herd,8,7
herl,7,7
hern,7,7
hide,8,7
hied,8,7
hila,7,7
hili,7,7
hilt,7,7
hins,7,7
hint,7,7
hisn,7,7
hods,8,7
hoed,8,7
hole,7,7
holo,7,7
hols,7,7
holt,7,7
hone,7,7
hons,7,7
hood,8,7
horn,7,7
hour,7,7
hues,7,7
hurt,7,7
huts,7,7
ibis,6,7
ices,6,7
isba,6,7
isms,6,7
item,6,7
iwis,7,7
lags,5,7
lahs,7,7
lall,4,7
land,5,7
lash,7,7
lath,7,7
laud,5,7
lays,7,7
legs,5,7
lehr,7,7
lend,5,7
leud,5,7
leys,7,7
linn,4,7
loge,5,7
logo,5,7
logs,5,7
loll,4,7
lory,7,7
loth,7,7
loud,5,7
luau,4,7
lude,5,7
ludo,5,7
luds,5,7
luna,4,7
lune,4,7
luns,4,7
lunt,4,7
lyes,7,7
lyre,7,7
lyse,7,7
maar,6,7
maes,6,7
mair,6,7
mara,6,7
mare,6,7
mars,6,7
mart,6,7
masa,6,7
mass,6,7
mast,6,7
mate,6,7
mats,6,7
matt,6,7
meat,6,7
meet,6,7
mere,6,7
mesa,6,7
mess,6,7
meta,6,7
mete,6,7
mire,6,7
miri,6,7
mirs,6,7
mise,6,7
miso,6,7
miss,6,
,,
emit,6,7
emos,6,7
engs,5,7
epee,6,7
epos,6,7
etic,6,7
ewer,7,7
ewes,7,7
eyed,8,7
eyen,7,7
eyne,7,7
fair,7,7
fare,7,7
faro,7,7
fast,7,7
fate,7,7
fats,7,7
fear,7,7
feat,7,7
fees,7,7
feet,7,7
fere,7,7
fess,7,7
fest,7,7
feta,7,7
fete,7,7
fets,7,7
fiar,7,7
fiat,7,7
fire,7,7
firs,7,7
fist,7,7
fits,7,7
foes,7,7
foos,7,7
foot,7,7
fora,7,7
fore,7,7
fort,7,7
foss,7,7
frae,7,7
frat,7,7
free,7,7
fret,7,7
frit,7,7
froe,7,7
gadi,6,7
gads,6,7
gaed,6,7
gaen,5,7
gain,5,7
gala,5,7
gale,5,7
gals,5,7
gane,5,7
gaol,5,7
gaur,5,7
gean,5,7
geds,6,7
geed,6,7
gels,5,7
gelt,5,7
gene,5,7
gens,5,7
gent,5,7
gids,6,7
gied,6,7
gien,5,7
gilt,5,7
gins,5,7
gird,6,7
girl,5,7
girn,5,7
glee,5,7
glia,5,7
gnar,5,7
gnat,5,7
goad,6,7
goal,5,7
gods,6,7
gone,5,7
good,6,7
goon,5,7
gout,5,7
grad,6,7
gran,5,7
grid,6,7
grin,5,7
grue,5,7
guar,5,7
gust,5,7
guts,5,7
hade,8,7
haed,8,7
haen,7,7
hail,7,7
hale,7,7
halo,7,7
halt,7,7
hant,7,
,,
bits,6,7
bitt,6,7
boar,6,7
boas,6,7
boat,6,7
boor,6,7
boos,6,7
boot,6,7
bora,6,7
bore,6,7
bort,6,7
boss,6,7
bota,6,7
bots,6,7
bott,6,7
brae,6,7
bras,6,7
brat,6,7
bree,6,7
brie,6,7
brio,6,7
bris,6,7
brit,6,7
broo,6,7
bros,6,7
brrr,6,7
care,6,7
carr,6,7
cars,6,7
cart,6,7
casa,6,7
case,6,7
cast,6,7
cate,6,7
cats,6,7
cees,6,7
cere,6,7
cero,6,7
cert,6,7
cess,6,7
cete,6,7
ciao,6,7
cire,6,7
cist,6,7
cite,6,7
coat,6,7
coir,6,7
coos,6,7
coot,6,7
core,6,7
cors,6,7
coss,6,7
cost,6,7
cote,6,7
cots,6,7
cris,6,7
crit,6,7
dags,6,7
dahs,8,7
dash,8,7
days,8,7
dell,5,7
deys,8,7
digs,6,7
dill,5,7
dish,8,7
doge,6,7
dogs,6,7
dohs,8,7
doll,5,7
dory,8,7
dosh,8,7
doth,8,7
doty,8,7
drag,6,7
dray,8,7
dreg,6,7
drys,8,7
duad,6,7
dual,5,7
dude,6,7
duds,6,7
duel,5,7
dune,5,7
duns,5,7
dunt,5,7
durn,5,7
dyer,8,7
dyes,8,7
ecos,6,7
edge,6,7
edhs,8,7
eeew,7,7
eely,7,7
efts,7,7
egad,6,7
egal,5,7
elhi,7,7
emes,6,7
emir,6,
,,
wens,7,8
went,7,8
wide,8,8
wile,7,8
wilt,7,8
wine,7,8
wino,7,8
wins,7,8
woad,8,8
wons,7,8
wont,7,8
wood,8,8
wool,7,8
word,8,8
worn,7,8
wren,7,8
wuss,7,8
yage,8,8
yagi,8,8
yags,8,8
yald,8,8
yaud,8,8
yays,10,8
yeah,10,8
yeld,8,8
yell,7,8
yill,7,8
yoga,8,8
yogi,8,8
yond,8,8
yuan,7,8
yule,7,8
abas,6,7
abet,6,7
abri,6,7
acai,6,7
aces,6,7
acre,6,7
acro,6,7
acta,6,7
acts,6,7
afar,7,7
afro,7,7
aged,6,7
agin,5,7
agon,5,7
ague,5,7
ahed,8,7
aims,6,7
alga,5,7
amas,6,7
amia,6,7
amie,6,7
amir,6,7
amis,6,7
anga,5,7
aper,6,7
apes,6,7
apos,6,7
apse,6,7
arbs,6,7
arco,6,7
arcs,6,7
arfs,7,7
arms,6,7
aryl,7,7
asci,6,7
asps,6,7
atap,6,7
atma,6,7
atom,6,7
atop,6,7
auld,5,7
awee,7,7
awes,7,7
ayin,7,7
baas,6,7
bait,6,7
bare,6,7
bars,6,7
base,6,7
bass,6,7
bast,6,7
bate,6,7
bats,6,7
batt,6,7
bear,6,7
beat,6,7
beer,6,7
bees,6,7
beet,6,7
best,6,7
beta,6,7
bets,6,7
bias,6,7
bier,6,7
bios,6,7
birr,6,7
bise,6,7
bite,6,
,,
snib,6,8
snip,6,8
snob,6,8
snow,7,8
snug,5,8
soak,8,8
soke,8,8
sook,8,8
soup,6,8
sown,7,8
span,6,8
sped,7,8
spin,6,8
spue,6,8
spur,6,8
stub,6,8
stum,6,8
suba,6,8
subs,6,8
sumi,6,8
sumo,6,8
sums,6,8
sung,5,8
supe,6,8
sups,6,8
surf,7,8
swan,7,8
tabu,6,8
taka,8,8
take,8,8
talc,6,8
task,8,8
tavs,7,8
teak,8,8
tegg,6,8
they,10,8
thud,8,8
tike,8,8
tiki,8,8
tofu,7,8
toke,8,8
took,8,8
town,7,8
trek,8,8
tsks,8,8
tuba,6,8
tube,6,8
tubs,6,8
tufa,7,8
tuft,7,8
tums,6,8
tung,5,8
tups,6,8
turf,7,8
twin,7,8
upas,6,8
urbs,6,8
uric,6,8
urps,6,8
vair,7,8
vara,7,8
vars,7,8
vasa,7,8
vase,7,8
vast,7,8
vats,7,8
veer,7,8
vees,7,8
vera,7,8
vert,7,8
vest,7,8
veto,7,8
vets,7,8
vier,7,8
vies,7,8
visa,7,8
vise,7,8
vita,7,8
voes,7,8
vote,7,8
wade,8,8
wadi,8,8
wads,8,8
wail,7,8
wain,7,8
wale,7,8
wali,7,8
wane,7,8
wans,7,8
want,7,8
ward,8,8
warn,7,8
waur,7,8
weal,7,8
wean,7,8
weds,8,8
weed,8,8
weel,7,8
ween,7,8
welt,7,
,,
pens,6,8
pent,6,8
peon,6,8
pial,6,8
pian,6,8
pied,7,8
pile,6,8
pili,6,8
pina,6,8
pine,6,8
pins,6,8
pint,6,8
pion,6,8
pirn,6,8
plat,6,8
plea,6,8
plie,6,8
plot,6,8
pods,7,8
pole,6,8
polo,6,8
pols,6,8
pone,6,8
pons,6,8
pood,7,8
pool,6,8
poon,6,8
porn,6,8
pour,6,8
pout,6,8
prau,6,8
prod,7,8
ptui,6,8
pure,6,8
puri,6,8
purr,6,8
purs,6,8
puss,6,8
puts,6,8
putt,6,8
ragg,6,8
rake,8,8
raki,8,8
rave,7,8
reek,8,8
revs,7,8
risk,8,8
rive,7,8
rolf,7,8
rook,8,8
roup,6,8
rove,7,8
rube,6,8
rubs,6,8
ruly,7,8
rums,6,8
rung,5,8
rynd,8,8
sagy,8,8
sake,8,8
saki,8,8
salp,6,8
sark,8,8
save,7,8
sawn,7,8
scad,7,8
scan,6,8
scut,6,8
seek,8,8
self,7,8
sevs,7,8
sewn,7,8
shag,8,8
shah,10,8
shay,10,8
shog,8,8
shul,7,8
shun,7,8
sigh,8,8
sika,8,8
sike,8,8
skas,8,8
skat,8,8
skee,8,8
skis,8,8
skit,8,8
slab,6,8
slam,6,8
slap,6,8
slaw,7,8
slew,7,8
slim,6,8
slip,6,8
slob,6,8
slop,6,8
slow,7,8
slug,5,8
smut,6,8
snap,6,8
snaw,7,
,,
mint,6,8
moan,6,8
mode,7,8
modi,7,8
mods,7,8
moil,6,8
mola,6,8
mole,6,8
mols,6,8
molt,6,8
mono,6,8
mons,6,8
mood,7,8
mool,6,8
moon,6,8
morn,6,8
moue,6,8
mura,6,8
mure,6,8
murr,6,8
muse,6,8
muso,6,8
muss,6,8
must,6,8
mute,6,8
muts,6,8
mutt,6,8
nabe,6,8
nabs,6,8
naif,7,8
name,6,8
napa,6,8
nape,6,8
naps,6,8
narc,6,8
neap,6,8
nebs,6,8
neem,6,8
neep,6,8
neif,7,8
nema,6,8
news,7,8
newt,7,8
nibs,6,8
nice,6,8
nims,6,8
nipa,6,8
nips,6,8
nobs,6,8
noma,6,8
nome,6,8
noms,6,8
nope,6,8
norm,6,8
nows,7,8
nowt,7,8
nugs,5,8
null,4,8
oaks,8,8
obol,6,8
odic,7,8
odyl,8,8
oiks,8,8
okas,8,8
okes,8,8
okra,8,8
oldy,8,8
omen,6,8
once,6,8
only,7,8
opal,6,8
oped,7,8
open,6,8
opus,6,8
orgy,8,8
over,7,8
owed,8,8
owls,7,8
owns,7,8
paan,6,8
padi,7,8
pads,7,8
paid,7,8
pail,6,8
pain,6,8
pale,6,8
pals,6,8
pane,6,8
pans,6,8
pant,6,8
pard,7,8
paua,6,8
peal,6,8
pean,6,8
peds,7,8
peel,6,8
peen,6,8
pein,6,8
pele,6,8
pelt,6,
,,
kiss,8,8
kist,8,8
kite,8,8
kits,8,8
koas,8,8
kois,8,8
kora,8,8
kore,8,8
kors,8,8
koss,8,8
koto,8,8
krai,8,8
kris,8,8
labs,6,8
lace,6,8
lacs,6,8
lady,8,8
laic,6,8
lama,6,8
lame,6,8
lams,6,8
lang,5,8
laps,6,8
laws,7,8
leaf,7,8
leap,6,8
left,7,8
lept,6,8
libs,6,8
lice,6,8
lief,7,8
life,7,8
lift,7,8
lily,7,8
lima,6,8
lime,6,8
limo,6,8
ling,5,8
liny,7,8
lipa,6,8
lipe,6,8
lipo,6,8
lips,6,8
lisp,6,8
loaf,7,8
loam,6,8
lobe,6,8
lobo,6,8
lobs,6,8
loca,6,8
loci,6,8
loco,6,8
loft,7,8
long,5,8
loof,7,8
loom,6,8
loop,6,8
lope,6,8
lops,6,8
lowe,7,8
lows,7,8
luge,5,8
lugs,5,8
lull,4,8
lulu,4,8
lush,7,8
lwei,7,8
made,7,8
mads,7,8
maid,7,8
mail,6,8
main,6,8
male,6,8
malt,6,8
mana,6,8
mane,6,8
mano,6,8
mans,6,8
marl,6,8
maut,6,8
mead,7,8
meal,6,8
mean,6,8
meds,7,8
meed,7,8
mels,6,8
melt,6,8
meno,6,8
meou,6,8
merl,6,8
midi,7,8
mids,7,8
mien,6,8
mile,6,8
milo,6,8
mils,6,8
milt,6,8
mina,6,8
mine,6,8
mini,6,
,,
font,7,8
food,8,8
fool,7,8
ford,8,8
four,7,8
furs,7,8
fuse,7,8
fuss,7,8
gaga,6,8
gage,6,8
gags,6,8
gall,5,8
gash,8,8
gaud,6,8
gaun,5,8
gays,8,8
geld,6,8
genu,5,8
ghat,8,8
ghee,8,8
ghis,8,8
giga,6,8
gigs,6,8
gild,6,8
gill,5,8
glad,6,8
gled,6,8
glen,5,8
glue,5,8
glut,5,8
gnus,5,8
gogo,6,8
gold,6,8
gory,8,8
gosh,8,8
goth,8,8
gray,8,8
grey,8,8
grig,6,8
grog,6,8
guan,5,8
gude,6,8
guid,6,8
guls,5,8
guns,5,8
guru,5,8
gyre,8,8
gyri,8,8
gyro,8,8
hags,8,8
haha,10,8
hahs,10,8
hall,7,8
hand,8,8
hash,10,8
hath,10,8
haul,7,8
hays,10,8
hehs,10,8
held,8,8
hell,7,8
heth,10,8
hill,7,8
hind,8,8
hiya,10,8
hogs,8,8
hold,8,8
hoya,10,8
hoys,10,8
hued,8,8
hula,7,8
huns,7,8
hunt,7,8
hurl,7,8
hyte,10,8
iced,7,8
icon,6,8
idem,7,8
idly,8,8
idyl,8,8
iggs,6,8
iglu,5,8
ikat,8,8
illy,7,8
imid,7,8
info,7,8
inly,7,8
irks,8,8
kaas,8,8
kaes,8,8
kart,8,8
kata,8,8
kats,8,8
keas,8,8
keet,8,8
keir,8,8
keta,8,8
keto,8,8
kier,8,8
kirs,8,
,,
deem,7,8
deep,7,8
defi,8,8
deft,8,8
deme,7,8
demo,7,8
deny,8,8
deps,7,8
derm,7,8
dews,8,8
dhal,8,8
dibs,7,8
dice,7,8
didy,9,8
difs,8,8
dime,7,8
dims,7,8
ding,6,8
dips,7,8
dipt,7,8
disc,7,8
dobe,7,8
docs,7,8
dome,7,8
doms,7,8
dong,6,8
doob,7,8
doom,7,8
dopa,7,8
dope,7,8
dorm,7,8
dorp,7,8
dows,8,8
drab,7,8
dram,7,8
draw,8,8
drew,8,8
drib,7,8
drip,7,8
drop,7,8
drug,6,8
dugs,6,8
dull,5,8
duty,8,8
dyad,9,8
dyed,9,8
dyne,8,8
eave,7,8
ebon,6,8
ecru,6,8
ecus,6,8
eddy,9,8
eggs,6,8
ekes,8,8
elms,6,8
emeu,6,8
emus,6,8
enow,7,8
ever,7,8
eves,7,8
eyry,10,8
fade,8,8
fado,8,8
fads,8,8
fail,7,8
fain,7,8
fane,7,8
fano,7,8
fans,7,8
fard,8,8
farl,7,8
feal,7,8
feds,8,8
feed,8,8
feel,7,8
felt,7,8
fens,7,8
feod,8,8
fern,7,8
feus,7,8
fido,8,8
fids,8,8
fila,7,8
file,7,8
filo,7,8
fils,7,8
fine,7,8
fino,7,8
fins,7,8
firn,7,8
flat,7,8
flea,7,8
flee,7,8
flir,7,8
flit,7,8
floe,7,8
foal,7,8
foil,7,8
foin,7,8
fons,7,
,,
bids,7,8
bile,6,8
bine,6,8
bins,6,8
bint,6,8
bird,7,8
birl,6,8
blae,6,8
blat,6,8
blet,6,8
blot,6,8
bode,7,8
bods,7,8
boil,6,8
bola,6,8
bole,6,8
bolo,6,8
bolt,6,8
bone,6,8
boon,6,8
born,6,8
bout,6,8
brad,7,8
bran,6,8
bred,7,8
bren,6,8
brin,6,8
brut,6,8
bura,6,8
burr,6,8
burs,6,8
buss,6,8
bust,6,8
bute,6,8
buts,6,8
butt,6,8
cade,7,8
cadi,7,8
cads,7,8
caid,7,8
cain,6,8
calo,6,8
cane,6,8
cans,6,8
cant,6,8
card,7,8
carl,6,8
carn,6,8
cede,7,8
cedi,7,8
ceil,6,8
cels,6,8
celt,6,8
cent,6,8
cine,6,8
cion,6,8
clot,6,8
coal,6,8
coda,7,8
code,7,8
cods,7,8
coed,7,8
coil,6,8
coin,6,8
cola,6,8
cole,6,8
cols,6,8
colt,6,8
cone,6,8
coni,6,8
cons,6,8
cool,6,8
coon,6,8
cord,7,8
corn,6,8
cred,7,8
crus,6,8
cues,6,8
cure,6,8
curr,6,8
curs,6,8
curt,6,8
cuss,6,8
cute,6,8
cuts,6,8
dabs,7,8
dace,7,8
daft,8,8
dahl,8,8
dame,7,8
dams,7,8
dang,6,8
daps,7,8
darb,7,8
daws,8,8
dawt,8,8
deaf,8,8
debs,7,8
debt,7,8
deco,7,
,,
whee,10,9
whet,10,9
whir,10,9
whit,10,9
whoa,10,9
wigs,8,9
wild,8,9
will,7,9
wind,8,9
wiry,10,9
wish,10,9
with,10,9
wold,8,9
wyes,10,9
wyte,10,9
yams,9,9
yang,8,9
yaps,9,9
yaws,10,9
yeow,10,9
yeps,9,9
yews,10,9
yipe,9,9
yips,9,9
yobs,9,9
yodh,11,9
yoof,10,9
yowe,10,9
yows,10,9
yuga,8,9
ywis,10,9
abed,7,8
able,6,8
abut,6,8
aced,7,8
acid,7,8
acne,6,8
agha,8,8
aglu,5,8
agog,6,8
ahoy,10,8
akee,8,8
alba,6,8
albs,6,8
alec,6,8
alef,7,8
alfa,7,8
alif,7,8
ally,7,8
alma,6,8
alme,6,8
alms,6,8
alow,7,8
alps,6,8
amen,6,8
amid,7,8
amin,6,8
amus,6,8
anew,7,8
aped,7,8
apod,7,8
arak,8,8
argh,8,8
arks,8,8
arum,6,8
arvo,7,8
ashy,10,8
asks,8,8
aver,7,8
aves,7,8
avos,7,8
awed,8,8
awls,7,8
awns,7,8
awol,7,8
ayah,10,8
baal,6,8
bade,7,8
bads,7,8
bail,6,8
bale,6,8
bals,6,8
bane,6,8
bani,6,8
bans,6,8
bard,7,8
barn,6,8
bead,7,8
beal,6,8
bean,6,8
beau,6,8
beds,7,8
been,6,8
bels,6,8
belt,6,8
bene,6,8
bens,6,8
bent,6,8
bide,7,8
bidi,7,
,,
whee,10,9
whet,10,9
whir,10,9
whit,10,9
whoa,10,9
wigs,8,9
wild,8,9
will,7,9
wind,8,9
wiry,10,9
wish,10,9
with,10,9
wold,8,9
wyes,10,9
wyte,10,9
yams,9,9
yang,8,9
yaps,9,9
yaws,10,9
yeow,10,9
yeps,9,9
yews,10,9
yipe,9,9
yips,9,9
yobs,9,9
yodh,11,9
yoof,10,9
yowe,10,9
yows,10,9
yuga,8,9
ywis,10,9
abed,7,8
able,6,8
abut,6,8
aced,7,8
acid,7,8
acne,6,8
agha,8,8
aglu,5,8
agog,6,8
ahoy,10,8
akee,8,8
alba,6,8
albs,6,8
alec,6,8
alef,7,8
alfa,7,8
alif,7,8
ally,7,8
alma,6,8
alme,6,8
alms,6,8
alow,7,8
alps,6,8
amen,6,8
amid,7,8
amin,6,8
amus,6,8
anew,7,8
aped,7,8
apod,7,8
arak,8,8
argh,8,8
arks,8,8
arum,6,8
arvo,7,8
ashy,10,8
asks,8,8
aver,7,8
aves,7,8
avos,7,8
awed,8,8
awls,7,8
awns,7,8
awol,7,8
ayah,10,8
baal,6,8
bade,7,8
bads,7,8
bail,6,8
bale,6,8
bals,6,8
bane,6,8
bani,6,8
bans,6,8
bard,7,8
barn,6,8
bead,7,8
beal,6,8
bean,6,8
beau,6,8
beds,7,8
been,6,8
bels,6,8
belt,6,8
bene,6,8
bens,6,8
bent,6,8
bide,7,8
bidi,7,
,,
mend,7,9
menu,6,9
mesh,9,9
meth,9,9
mhos,9,9
migs,7,9
mild,7,9
mill,6,9
mind,7,9
miry,9,9
mity,9,9
mogs,7,9
moho,9,9
mold,7,9
moll,6,9
mosh,9,9
moth,9,9
muds,7,9
mule,6,9
muni,6,9
muns,6,9
muon,6,9
nark,8,9
nave,7,9
navs,7,9
neum,6,9
neve,7,9
nevi,7,9
nigh,8,9
nogg,6,9
nook,8,9
nova,7,9
nubs,6,9
nyah,10,9
obey,9,9
oche,9,9
ogam,7,9
ohms,9,9
oink,8,9
opah,9,9
orby,9,9
oval,7,9
oven,7,9
page,7,9
pall,6,9
pash,9,9
path,9,9
paty,9,9
pays,9,9
peag,7,9
pegs,7,9
pehs,9,9
pend,7,9
phat,9,9
phis,9,9
phos,9,9
phot,9,9
pigs,7,9
pill,6,9
pish,9,9
pith,9,9
pity,9,9
plan,6,9
pled,7,9
plod,7,9
plus,6,9
pogo,7,9
poll,6,9
pond,7,9
pooh,9,9
posh,9,9
posy,9,9
pray,9,9
prey,9,9
prig,7,9
prog,7,9
puds,7,9
pula,6,9
pule,6,9
puli,6,9
puls,6,9
puna,6,9
puns,6,9
punt,6,9
purl,6,9
pyas,9,9
pyes,9,9
pyre,9,9
pyro,9,9
racy,9,9
raku,8,9
rank,8,9
rich,9,9
rimy,9,9
rink,8,9
ropy,9,9
rusk,8,9
sank,8,9
scag,7,9
scry,9,
,,
hobs,9,9
holy,10,9
homa,9,9
home,9,9
homo,9,9
homs,9,9
hong,8,9
hoof,10,9
hoop,9,9
hope,9,9
hops,9,9
howe,10,9
hows,10,9
huge,8,9
hugs,8,9
hull,7,9
hush,10,9
hyla,10,9
ichs,9,9
ikon,8,9
ilka,8,9
ilks,8,9
inks,8,9
itch,9,9
kadi,9,9
kail,8,9
kain,8,9
kale,8,9
kana,8,9
kane,8,9
kaon,8,9
karn,8,9
keel,8,9
keen,8,9
kelt,8,9
keno,8,9
kens,8,9
kent,8,9
kern,8,9
kids,9,9
kilo,8,9
kilt,8,9
kina,8,9
kine,8,9
kino,8,9
kins,8,9
kirn,8,9
knar,8,9
knee,8,9
knit,8,9
knot,8,9
koan,8,9
koel,8,9
kola,8,9
kolo,8,9
kues,8,9
lake,8,9
lark,8,9
lava,7,9
lave,7,9
lavs,7,9
lawn,7,9
leak,8,9
leek,8,9
leke,8,9
leks,8,9
leva,7,9
levo,7,9
levs,7,9
lewd,8,9
like,8,9
limn,6,9
live,7,9
logy,8,9
look,8,9
loup,6,9
love,7,9
lown,7,9
lube,6,9
luce,6,9
luma,6,9
lums,6,9
lung,5,9
luny,7,9
mage,7,9
magi,7,9
mags,7,9
mall,6,9
mash,9,9
math,9,9
maud,7,9
maul,6,9
maun,6,9
maya,9,9
mayo,9,9
mays,9,9
mega,7,9
megs,7,9
meld,7,9
mell,6,
,,
