Wordÿ,Scrabble? Pointsÿ,Words With Friends? Pointsÿ
sera,4,4
sere,4,4
sers,4,4
seta,4,4
sets,4,4
sett,4,4
sire,4,4
sirs,4,4
site,4,4
sits,4,4
soar,4,4
soot,4,4
sora,4,4
sore,4,4
sori,4,4
sort,4,4
sots,4,4
sris,4,4
star,4,4
stat,4,4
stet,4,4
stir,4,4
stoa,4,4
stot,4,4
taos,4,4
tare,4,4
taro,4,4
tars,4,4
tart,4,4
tase,4,4
tass,4,4
tate,4,4
tats,4,4
tear,4,4
teas,4,4
teat,4,4
tees,4,4
test,4,4
tets,4,4
tier,4,4
ties,4,4
tire,4,4
tiro,4,4
titi,4,4
tits,4,4
toea,4,4
toes,4,4
toit,4,4
toot,4,4
tora,4,4
tore,4,4
tori,4,4
toro,4,4
torr,4,4
tors,4,4
tort,4,4
tosa,4,4
toss,4,4
tost,4,4
tote,4,4
tots,4,4
tree,4,4
tret,4,4
trio,4,4
trot,4,4
tsar,4,4
tian,4,5
tide,5,5
tied,5,5
tile,4,5
tils,4,5
tilt,4,5
tine,4,5
tins,4,5
tint,4,5
tirl,4,5
toad,5,5
tods,5,5
toed,5,5
toil,4,5
tola,4,5
tole,4,5
tolt,4,5
tone,4,5
tons,4,5
tool,4,5
toon,4,5
torn,4,5
tour,4,5
tout,4,5
trad,5,5
trod,5,5
trou,4,5
TRUE,4,5
tuis,4,5
turr,4,5
tuts,4,5
urea,4,5
ursa,4,5
user,4,5
uses,4,5
utas,4,5
utes,4,5
aero,4,4
airs,4,4
airt,4,4
aits,4,4
area,4,4
ares,4,4
aria,4,4
arts,4,4
asea,4,4
ates,4,4
ears,4,4
ease,4,4
east,4,4
eats,4,4
eras,4,4
eros,4,4
errs,4,4
erst,4,4
eses,4,4
esse,4,4
ests,4,4
etas,4,4
iota,4,4
ires,4,4
iris,4,4
oars,4,4
oast,4,4
oats,4,4
oots,4,4
ores,4,4
orra,4,4
orts,4,4
osar,4,4
oses,4,4
ossa,4,4
otto,4,4
raia,4,4
rais,4,4
rare,4,4
rase,4,4
rate,4,4
rato,4,4
rats,4,4
rear,4,4
rees,4,4
reis,4,4
rest,4,4
rete,4,4
rets,4,4
rias,4,4
riot,4,4
rise,4,4
rite,4,4
roar,4,4
roes,4,4
roos,4,4
root,4,4
rose,4,4
rota,4,4
rote,4,4
roti,4,4
roto,4,4
rots,4,4
reel,4,5
rein,4,5
reno,4,5
rent,4,5
rial,4,5
ride,5,5
rids,5,5
riel,4,5
rile,4,5
rins,4,5
road,5,5
roan,4,5
rode,5,5
rods,5,5
roil,4,5
role,4,5
rood,5,5
rotl,4,5
roue,4,5
rout,4,5
ruer,4,5
rues,4,5
ruse,4,5
rust,4,5
ruts,4,5
sade,5,5
sadi,5,5
said,5,5
sail,4,5
sain,4,5
sale,4,5
sals,4,5
salt,4,5
sane,4,5
sans,4,5
sard,5,5
seal,4,5
seed,5,5
seel,4,5
seen,4,5
sels,4,5
sene,4,5
sent,4,5
sial,4,5
side,5,5
silo,4,5
silt,4,5
sine,4,5
sins,4,5
slat,4,5
slit,4,5
sloe,4,5
slot,4,5
snit,4,5
snot,4,5
soda,5,5
sods,5,5
soil,4,5
sola,4,5
sole,4,5
soli,4,5
solo,4,5
sols,4,5
sone,4,5
sons,4,5
soon,4,5
sord,5,5
sorn,4,5
sour,4,5
sous,4,5
suer,4,5
sues,4,5
suet,4,5
suit,4,5
sura,4,5
sure,4,5
suss,4,5
tads,5,5
tael,4,5
tail,4,5
tain,4,5
tala,4,5
tale,4,5
tali,4,5
tans,4,5
tarn,4,5
taus,4,5
taut,4,5
teal,4,5
teds,5,5
teed,5,5
teel,4,5
teen,4,5
tein,4,5
tela,4,5
tele,4,5
tels,4,5
tens,4,5
tent,4,5
tern,4,
ides,5,5
ilea,4,5
ilia,4,5
inia,4,5
inro,4,5
inti,4,5
into,4,5
ions,4,5
ired,5,5
irid,5,5
iron,4,5
isle,4,5
lair,4,5
lari,4,5
lars,4,5
lase,4,5
lass,4,5
last,4,5
late,4,5
lati,4,5
lats,4,5
lear,4,5
leas,4,5
leer,4,5
lees,4,5
leet,4,5
leis,4,5
less,4,5
lest,4,5
lets,4,5
liar,4,5
lias,4,5
lier,4,5
lies,4,5
lira,4,5
lire,4,5
liri,4,5
list,4,5
lite,4,5
lits,4,5
loos,4,5
loot,4,5
lore,4,5
lose,4,5
loss,4,5
lost,4,5
lota,4,5
loti,4,5
loto,4,5
lots,4,5
naes,4,5
naoi,4,5
naos,4,5
near,4,5
neat,4,5
ness,4,5
nest,4,5
nets,4,5
nett,4,5
nisi,4,5
nite,4,5
nits,4,5
noes,4,5
noir,4,5
nori,4,5
nose,4,5
nota,4,5
note,4,5
odas,5,5
odea,5,5
odes,5,5
odor,5,5
oils,4,5
olea,4,5
oleo,4,5
oles,4,5
olio,4,5
ones,4,5
onos,4,5
onto,4,5
